ts_ns;price;volume;side
1700005160000000000;46040.16;2.0953;2
1700005220000000000;46083.22;0.9043;4
1700005280000000000;46110.31;0.1707;4
1700005340000000000;46144.31;1.3681;4
1700005400000000000;46185.91;2.0062;4
1700005460000000000;46215.51;0.2997;4
1700005520000000000;46195.02;1.2714;2
1700005580000000000;46223.02;2.2883;2
1700005640000000000;46240.81;0.7231;4
1700005700000000000;46253.67;0.4418;4
1700005760000000000;46264.23;1.2991;2
1700005820000000000;46252.84;0.3063;4
1700005880000000000;46239.15;0.9753;4
1700005940000000000;46271.41;0.399;2
1700006000000000000;46255.98;0.6039;4
1700006060000000000;46283.48;0.18;4
1700006120000000000;46282.93;1.4288;4
1700006180000000000;46274.04;0.725;2
1700006240000000000;46291.22;2.427;2
1700006300000000000;46334.01;1.4404;2
1700006360000000000;46313.57;1.7889;2
1700006420000000000;46346.74;0.6846;4
1700006480000000000;46373.18;0.9287;2
1700006540000000000;46386.31;1.1664;2
1700006600000000000;46428.79;0.8593;2
1700006660000000000;46453.42;1.1199;2
1700006720000000000;46454.89;0.2998;2
1700006780000000000;46483.85;1.1732;2
1700006840000000000;46486.96;0.4649;2
1700006900000000000;46458.73;1.4854;2
1700006960000000000;46476.31;0.8065;4
1700007020000000000;46511.44;0.9366;4
1700007080000000000;46492.82;1.5005;2
1700007140000000000;46493.46;2.0612;4
1700007200000000000;46491.42;1.7002;4
1700007260000000000;46486.75;0.2199;2
1700007320000000000;46464.93;1.0549;2
1700007380000000000;46445.62;0.7436;2
1700007440000000000;46465.98;2.0148;4
1700007500000000000;46472.18;0.1174;4
1700007560000000000;46493.42;0.2938;2
1700007620000000000;46491.0;0.5353;4
1700007680000000000;46500.44;1.4314;2
1700007740000000000;46493.04;1.3737;4
1700007800000000000;46481.3;1.0623;2
1700007860000000000;46479.42;0.8073;2
1700007920000000000;46482.3;2.261;4
1700007980000000000;46511.63;0.8903;4
1700008040000000000;46483.59;0.6639;2
1700008100000000000;46489.53;0.6466;2
1700008160000000000;46459.79;1.7413;4
1700008220000000000;46453.45;1.5522;4
1700008280000000000;46481.46;0.5546;4
1700008340000000000;46485.4;1.7863;2
1700008400000000000;46513.18;0.9359;2
1700008460000000000;46509.11;0.8224;4
1700008520000000000;46512.75;2.0531;4
1700008580000000000;46526.69;0.9279;4
1700008640000000000;46520.05;1.7647;4
1700008700000000000;46519.29;0.8454;2
1700008760000000000;46504.01;1.9764;4
1700008820000000000;46508.77;0.8962;2
1700008880000000000;46533.99;2.3724;4
1700008940000000000;46552.51;1.3727;4
1700009000000000000;46543.68;0.108;4
1700009060000000000;46568.26;0.9488;4
1700009120000000000;46532.59;1.6601;2
1700009180000000000;46555.69;1.3144;4
1700009240000000000;46533.31;0.8532;4
1700009300000000000;46522.94;1.5654;4
1700009360000000000;46484.36;0.8972;4
1700009420000000000;46483.95;2.0085;4
1700009480000000000;46488.25;0.2003;2
1700009540000000000;46494.71;1.8267;2
1700009600000000000;46478.87;2.185;4
1700009660000000000;46448.3;2.4688;4
1700009720000000000;46425.05;1.3019;2
1700009780000000000;46406.74;0.5087;2
1700009840000000000;46403.05;2.0759;2
1700009900000000000;46422.7;0.2449;4
1700009960000000000;46443.34;0.3045;2
1700010020000000000;46425.57;0.6149;4
1700010080000000000;46412.28;0.0196;2
1700010140000000000;46391.12;1.5686;2
1700010200000000000;46395.36;1.0502;4
1700010260000000000;46375.98;2.32;2
1700010320000000000;46377.12;2.0872;4
1700010380000000000;46328.41;0.5223;2
1700010440000000000;46337.97;1.7067;2
1700010500000000000;46332.01;1.2896;4
1700010560000000000;46313.63;1.0395;2
1700010620000000000;46311.64;0.2767;2
1700010680000000000;46266.92;1.2494;4
1700010740000000000;46274.17;1.4761;4
1700010800000000000;46232.84;0.9599;2
1700010860000000000;46218.27;0.9196;4
1700010920000000000;46168.95;2.4138;4
1700010980000000000;46129.66;2.1199;4
1700011040000000000;46126.07;1.3904;4
1700011100000000000;46082.02;2.1498;4
1700011160000000000;46078.42;2.4853;4
1700011220000000000;46025.93;0.6198;4
1700011280000000000;46014.32;1.4296;4
1700011340000000000;46012.03;0.2903;2
1700011400000000000;45978.52;1.2381;4
1700011460000000000;45955.58;0.8659;4
1700011520000000000;45910.63;0.5364;4
1700011580000000000;45906.83;0.4757;2
1700011640000000000;45874.73;1.1901;4
1700011700000000000;45877.07;0.0631;4
1700011760000000000;45890.8;1.0357;2
1700011820000000000;45850.13;0.7758;4
1700011880000000000;45820.38;0.6252;2
1700011940000000000;45830.55;0.0358;2
1700012000000000000;45826.24;0.1;2
1700012060000000000;45802.65;1.1222;2
1700012120000000000;45796.38;0.7354;4
1700012180000000000;45805.42;1.8948;4
1700012240000000000;45761.85;1.0143;4
1700012300000000000;45733.04;0.7943;2
1700012360000000000;45706.05;2.376;2
1700012420000000000;45658.49;0.8702;2
1700012480000000000;45660.15;0.4998;4
1700012540000000000;45674.22;1.2246;4
1700012600000000000;45658.93;0.429;2
1700012660000000000;45611.73;1.5063;2
1700012720000000000;45600.28;0.4425;2
1700012780000000000;45609.28;1.6163;4
1700012840000000000;45579.34;0.7209;2
1700012900000000000;45536.14;2.0253;2
1700012960000000000;45494.12;0.3691;2
1700013020000000000;45462.84;2.0805;4
1700013080000000000;45452.64;2.2151;2
1700013140000000000;45422.12;1.792;4
1700013200000000000;45404.87;0.2158;4
1700013260000000000;45402.87;0.7252;4
1700013320000000000;45376.07;0.5272;4
1700013380000000000;45334.16;0.2253;2
1700013440000000000;45321.02;1.2039;4
1700013500000000000;45334.69;2.2689;2
1700013560000000000;45319.13;0.4312;2
1700013620000000000;45301.18;0.8267;2
1700013680000000000;45288.61;1.4828;4
1700013740000000000;45258.04;2.2951;2
1700013800000000000;45244.14;0.4441;4
1700013860000000000;45212.2;0.8726;2
1700013920000000000;45228.06;2.1875;2
1700013980000000000;45230.36;0.3794;4
1700014040000000000;45227.88;0.3016;2
1700014100000000000;45241.69;1.4987;4
1700014160000000000;45211.17;2.3244;4
1700014220000000000;45225.31;2.3707;2
1700014280000000000;45209.0;1.9356;4
1700014340000000000;45212.94;2.4851;2
1700014400000000000;45198.23;1.6548;4
1700014460000000000;45214.69;2.2313;2
1700014520000000000;45237.4;1.9708;4
1700014580000000000;45237.13;0.2765;4
1700014640000000000;45201.86;1.3466;4
1700014700000000000;45217.64;1.8524;4
1700014760000000000;45178.91;2.4017;4
1700014820000000000;45169.72;0.4598;4
1700014880000000000;45165.86;1.2936;4
1700014940000000000;45183.88;1.2326;2
1700015000000000000;45197.03;1.6424;4
1700015060000000000;45209.19;1.0456;4
1700015120000000000;45238.45;2.215;4
1700015180000000000;45215.1;0.5429;2
1700015240000000000;45199.04;2.3484;4
1700015300000000000;45168.07;0.4129;4
1700015360000000000;45198.59;2.247;4
1700015420000000000;45203.6;0.5421;2
1700015480000000000;45225.82;0.6599;2
1700015540000000000;45232.26;0.5363;2
1700015600000000000;45209.72;0.5405;4
1700015660000000000;45229.23;2.201;2
1700015720000000000;45261.79;0.811;2
1700015780000000000;45244.45;1.1922;4
1700015840000000000;45225.11;0.6173;4
1700015900000000000;45252.08;2.0726;2
1700015960000000000;45282.1;0.8354;4
1700016020000000000;45276.64;0.4745;4
1700016080000000000;45276.73;2.167;2
1700016140000000000;45288.56;1.6039;2
1700016200000000000;45279.81;1.9077;4
1700016260000000000;45270.69;0.2511;2
1700016320000000000;45251.1;1.2649;4
1700016380000000000;45243.24;0.4195;4
1700016440000000000;45261.2;1.5831;4
1700016500000000000;45235.29;0.6813;4
1700016560000000000;45235.2;0.3011;2
1700016620000000000;45241.12;1.6751;4
1700016680000000000;45232.9;0.1901;2
1700016740000000000;45255.94;1.0663;4
1700016800000000000;45288.75;2.2061;4
1700016860000000000;45287.35;1.153;4
1700016920000000000;45281.9;1.1192;2
1700016980000000000;45278.34;1.4532;2
1700017040000000000;45321.91;2.0488;2
1700017100000000000;45356.74;0.4581;2
1700017160000000000;45349.97;1.6141;4
1700017220000000000;45356.51;1.9275;4
1700017280000000000;45372.85;2.3449;4
1700017340000000000;45398.48;0.1462;2
1700017400000000000;45395.51;2.4681;4
1700017460000000000;45424.34;1.6604;4
1700017520000000000;45440.79;0.6681;2
1700017580000000000;45432.15;1.4331;4
1700017640000000000;45459.98;0.2482;4
1700017700000000000;45473.51;0.2627;4
1700017760000000000;45482.19;1.408;2
1700017820000000000;45487.31;2.1822;4
1700017880000000000;45519.12;2.2645;4
1700017940000000000;45560.82;0.2496;2
1700018000000000000;45570.05;0.6085;4
1700018060000000000;45594.3;0.5185;4
1700018120000000000;45622.92;0.0187;4
1700018180000000000;45632.84;1.7618;4
1700018240000000000;45660.26;0.6584;2
1700018300000000000;45645.95;2.4846;4
1700018360000000000;45691.88;0.64;2
1700018420000000000;45691.78;1.9667;2
1700018480000000000;45725.4;0.3986;4
1700018540000000000;45771.63;1.0562;4
1700018600000000000;45783.7;0.3257;4
1700018660000000000;45797.59;1.1671;4
1700018720000000000;45825.21;1.0986;2
1700018780000000000;45864.11;0.1027;4
1700018840000000000;45871.51;1.8484;4
1700018900000000000;45865.39;0.1984;2
1700018960000000000;45883.81;1.0175;4
1700019020000000000;45904.61;1.8782;4
1700019080000000000;45895.75;2.3465;4
1700019140000000000;45937.23;1.4942;4
1700019200000000000;45970.31;1.0055;4
1700019260000000000;46010.5;0.0582;4
1700019320000000000;46012.77;0.333;4
1700019380000000000;46027.7;0.5838;4
1700019440000000000;46050.0;1.6129;2
1700019500000000000;46057.9;2.4221;2
1700019560000000000;46086.46;2.201;2
1700019620000000000;46085.24;1.1446;4
1700019680000000000;46099.47;1.4671;4
1700019740000000000;46091.95;1.055;2
1700019800000000000;46137.19;2.0606;2
1700019860000000000;46121.45;0.3151;4
1700019920000000000;46150.15;1.6916;4
1700019980000000000;46157.7;0.431;2
1700020040000000000;46186.77;0.8324;4
1700020100000000000;46175.21;1.3996;4
1700020160000000000;46178.11;1.5307;2
1700020220000000000;46187.14;1.4715;4
1700020280000000000;46195.29;1.3605;4
1700020340000000000;46234.25;0.5097;2
1700020400000000000;46241.04;0.4658;4
1700020460000000000;46276.08;1.7564;4
1700020520000000000;46288.32;1.6982;4
1700020580000000000;46287.74;1.9807;4
1700020640000000000;46288.05;0.8978;2
1700020700000000000;46288.05;1.6513;4
1700020760000000000;46290.97;2.4899;2
1700020820000000000;46308.12;2.0042;2
1700020880000000000;46289.9;1.027;2
1700020940000000000;46325.08;0.7426;4
1700021000000000000;46369.24;0.5364;4
1700021060000000000;46356.09;2.2307;4
1700021120000000000;46343.71;1.7813;4
1700021180000000000;46347.07;0.7733;4
1700021240000000000;46350.49;0.7023;4
1700021300000000000;46389.71;1.0913;4
1700021360000000000;46425.01;0.8008;2
1700021420000000000;46413.18;2.2866;4
1700021480000000000;46390.88;1.9847;2
1700021540000000000;46373.52;0.4025;2
1700021600000000000;46417.81;0.5544;2
1700021660000000000;46434.63;0.1046;2
1700021720000000000;46429.71;1.037;4
1700021780000000000;46434.51;0.1786;4
1700021840000000000;46451.18;1.0612;4
1700021900000000000;46472.04;2.0209;4
1700021960000000000;46458.34;2.3705;4
1700022020000000000;46478.37;1.6192;2
1700022080000000000;46466.11;0.4912;2
1700022140000000000;46476.52;0.2193;2
1700022200000000000;46497.01;2.0611;4
1700022260000000000;46494.67;0.3889;4
1700022320000000000;46471.45;0.6441;4
1700022380000000000;46444.86;0.0638;2
1700022440000000000;46430.0;0.0502;2
1700022500000000000;46422.23;2.4501;2
1700022560000000000;46459.02;1.1952;2
1700022620000000000;46472.6;0.1225;4
1700022680000000000;46493.09;2.0408;2
1700022740000000000;46473.32;1.5248;2
1700022800000000000;46470.06;2.4482;2
1700022860000000000;46439.04;1.6793;4
1700022920000000000;46417.85;2.2807;4
1700022980000000000;46391.46;1.6998;2
1700023040000000000;46409.75;0.5515;2
1700023100000000000;46441.68;2.0738;4
1700023160000000000;46439.3;0.3192;4
1700023220000000000;46413.57;1.326;2
1700023280000000000;46382.18;0.2966;2
1700023340000000000;46379.48;0.1128;2
1700023400000000000;46352.69;0.3564;2
1700023460000000000;46383.61;0.3659;2
1700023520000000000;46404.84;0.3217;4
1700023580000000000;46375.98;0.3491;4
1700023640000000000;46368.68;1.7607;4
1700023700000000000;46334.84;1.3926;2
1700023760000000000;46335.27;0.8724;2
1700023820000000000;46322.02;2.4613;2
1700023880000000000;46333.3;1.2712;2
1700023940000000000;46293.59;0.1507;4
1700024000000000000;46297.32;0.808;4
1700024060000000000;46282.92;2.0513;2
1700024120000000000;46311.07;1.4456;2
1700024180000000000;46272.71;1.4087;2
1700024240000000000;46246.8;2.1934;2
1700024300000000000;46246.89;0.244;2
1700024360000000000;46245.48;1.2997;4
1700024420000000000;46218.9;1.231;4
1700024480000000000;46229.76;2.2134;4
1700024540000000000;46235.08;0.7366;4
1700024600000000000;46202.86;1.582;2
1700024660000000000;46211.31;1.7803;4
1700024720000000000;46234.45;2.4692;2
1700024780000000000;46191.16;0.0381;2
1700024840000000000;46177.86;1.8585;2
1700024900000000000;46170.58;2.0356;2
1700024960000000000;46155.48;1.7564;2
1700025020000000000;46165.44;1.1458;2
1700025080000000000;46138.42;0.3394;2
1700025140000000000;46133.39;1.6858;2
1700025200000000000;46111.31;0.4605;2
1700025260000000000;46128.05;1.4012;2
1700025320000000000;46106.61;1.2604;4
1700025380000000000;46101.79;2.1537;4
1700025440000000000;46107.77;1.3517;4
1700025500000000000;46072.0;1.9561;2
1700025560000000000;46065.47;0.4782;4
1700025620000000000;46036.39;0.6271;4
1700025680000000000;46052.03;1.8539;2
1700025740000000000;46031.01;1.9571;4
1700025800000000000;46008.81;1.1287;2
1700025860000000000;46011.21;1.3781;2
1700025920000000000;46023.62;1.5621;4
1700025980000000000;45980.81;0.6027;2
1700026040000000000;45949.55;1.0866;4
1700026100000000000;45939.53;1.2194;2
1700026160000000000;45921.5;1.4141;2
1700026220000000000;45888.82;0.7324;4
1700026280000000000;45879.98;0.6317;2
1700026340000000000;45853.19;2.0231;2
1700026400000000000;45810.22;2.2322;4
1700026460000000000;45806.57;1.0067;2
1700026520000000000;45799.54;1.2685;4
1700026580000000000;45755.01;2.3733;4
1700026640000000000;45749.79;1.7149;4
1700026700000000000;45737.5;1.7889;2
1700026760000000000;45720.41;0.5862;4
1700026820000000000;45703.56;0.3882;4
1700026880000000000;45708.52;2.3414;2
1700026940000000000;45656.04;0.3914;4
1700027000000000000;45653.22;1.6872;2
1700027060000000000;45641.81;2.4862;4
1700027120000000000;45657.0;0.2722;4
1700027180000000000;45643.8;1.3306;2
1700027240000000000;45648.27;1.3352;2
1700027300000000000;45641.49;0.2887;2
1700027360000000000;45638.31;0.0648;4
1700027420000000000;45615.6;0.0467;4
1700027480000000000;45591.9;1.2723;2
1700027540000000000;45585.23;2.0642;2
1700027600000000000;45550.11;2.1809;4
1700027660000000000;45551.29;2.3229;2
1700027720000000000;45529.92;0.6049;2
1700027780000000000;45480.43;0.5705;2
1700027840000000000;45450.35;2.1906;2
1700027900000000000;45408.34;1.0938;4
1700027960000000000;45407.64;1.6054;2
1700028020000000000;45407.65;1.8545;4
1700028080000000000;45413.24;0.9434;2
1700028140000000000;45411.51;0.636;2
1700028200000000000;45371.61;0.9633;4
1700028260000000000;45327.25;0.7128;2
1700028320000000000;45279.63;1.2621;2
1700028380000000000;45278.97;0.8086;2
1700028440000000000;45233.42;1.4161;2
1700028500000000000;45247.8;1.898;2
1700028560000000000;45247.25;2.2979;2
1700028620000000000;45225.6;0.8457;4
1700028680000000000;45240.03;1.3933;2
1700028740000000000;45255.96;0.6931;2
1700028800000000000;45276.62;1.8649;2
1700028860000000000;45246.57;1.3192;2
1700028920000000000;45221.41;1.6511;2
1700028980000000000;45183.68;0.9423;4
1700029040000000000;45154.1;0.7209;2
1700029100000000000;45152.22;0.7931;2
1700029160000000000;45142.28;0.6643;2
1700029220000000000;45143.6;0.548;2
1700029280000000000;45157.75;0.2043;4
1700029340000000000;45177.44;1.2202;2
1700029400000000000;45181.99;1.673;4
1700029460000000000;45140.55;0.9514;4
1700029520000000000;45120.29;0.4064;2
1700029580000000000;45143.5;1.8127;4
1700029640000000000;45154.19;2.3051;2
1700029700000000000;45148.13;1.4503;2
1700029760000000000;45114.36;2.0557;4
1700029820000000000;45120.21;0.9688;2
1700029880000000000;45129.59;0.9882;2
1700029940000000000;45087.94;1.4093;2
1700030000000000000;45064.84;1.7216;4
1700030060000000000;45063.21;2.4462;4
1700030120000000000;45054.72;2.2314;4
1700030180000000000;45028.45;0.1022;2
1700030240000000000;45010.53;1.2932;4
1700030300000000000;44990.57;0.6497;4
1700030360000000000;45013.82;1.438;4
1700030420000000000;45000.07;0.4604;4
1700030480000000000;45029.3;0.3429;4
1700030540000000000;45015.49;1.9291;2
1700030600000000000;45032.0;1.4152;2
1700030660000000000;45023.79;0.2778;4
1700030720000000000;44993.45;0.8042;2
1700030780000000000;45012.57;1.6453;4
1700030840000000000;45002.1;0.1979;4
1700030900000000000;44975.6;2.2028;4
1700030960000000000;44957.69;1.8703;2
1700031020000000000;44981.25;2.4647;2
1700031080000000000;44962.83;1.482;2
1700031140000000000;44960.97;1.1207;4
1700031200000000000;44996.24;0.5554;4
1700031260000000000;44974.23;1.9109;2
1700031320000000000;44974.39;0.5826;4
1700031380000000000;44979.6;0.6131;2
1700031440000000000;44995.37;1.4051;2
1700031500000000000;44999.57;0.7953;2
1700031560000000000;45005.43;1.9681;2
1700031620000000000;44997.96;2.2592;2
1700031680000000000;45026.47;0.9827;2
1700031740000000000;45066.84;0.3644;2
1700031800000000000;45068.15;0.9438;4
1700031860000000000;45049.56;1.7273;4
1700031920000000000;45060.65;2.4266;2
1700031980000000000;45074.89;1.2795;2
1700032040000000000;45093.83;0.7283;4
1700032100000000000;45084.15;1.7402;4
1700032160000000000;45060.61;0.9083;2
1700032220000000000;45081.95;1.6948;4
1700032280000000000;45061.71;0.566;4
1700032340000000000;45082.94;2.215;4
1700032400000000000;45069.95;0.4638;4
1700032460000000000;45091.7;1.4874;4
1700032520000000000;45081.79;1.5705;4
1700032580000000000;45092.88;2.3878;2
1700032640000000000;45136.75;1.0462;4
1700032700000000000;45146.91;1.2365;4
1700032760000000000;45129.8;0.4241;4
1700032820000000000;45131.02;1.5445;2
1700032880000000000;45171.35;1.567;4
1700032940000000000;45155.48;0.8218;4
1700033000000000000;45181.4;0.0632;2
1700033060000000000;45189.84;0.0366;2
1700033120000000000;45218.89;0.1766;2
1700033180000000000;45205.07;2.4997;2
1700033240000000000;45222.24;0.4256;4
1700033300000000000;45236.28;0.2186;4
1700033360000000000;45237.16;2.4596;2
1700033420000000000;45254.12;2.3435;4
1700033480000000000;45241.72;1.7526;4
1700033540000000000;45225.51;2.2625;4
1700033600000000000;45263.67;2.3352;4
1700033660000000000;45307.4;2.3449;2
1700033720000000000;45312.6;2.306;2
1700033780000000000;45363.99;2.2915;2
1700033840000000000;45406.1;2.3336;4
1700033900000000000;45411.35;1.7476;2
1700033960000000000;45454.44;1.4884;4
1700034020000000000;45481.52;1.0465;2
1700034080000000000;45519.99;0.5867;2
1700034140000000000;45504.6;1.007;4
1700034200000000000;45495.56;1.4646;2
1700034260000000000;45504.36;0.2375;2
1700034320000000000;45545.02;1.7192;4
1700034380000000000;45582.78;0.0597;4
1700034440000000000;45595.16;1.1957;2
1700034500000000000;45598.59;2.2755;2
1700034560000000000;45629.88;1.3489;2
1700034620000000000;45644.22;1.828;4
1700034680000000000;45667.22;2.49;4
1700034740000000000;45665.52;0.8485;4
1700034800000000000;45714.21;1.9627;4
1700034860000000000;45746.66;0.2107;2
1700034920000000000;45778.71;0.7879;4
1700034980000000000;45811.38;2.0847;2
1700035040000000000;45837.37;1.5135;2
1700035100000000000;45885.85;1.9022;2
1700035160000000000;45920.35;2.1938;2
1700035220000000000;45951.75;0.4511;4
1700035280000000000;45993.72;1.2449;2
1700035340000000000;46013.14;1.5017;2
1700035400000000000;46030.18;2.369;2
1700035460000000000;46023.17;2.3185;4
1700035520000000000;46032.6;0.9512;2
1700035580000000000;46052.59;1.0816;4
1700035640000000000;46057.24;0.739;4
1700035700000000000;46107.46;0.4218;4
1700035760000000000;46090.35;0.9431;2
1700035820000000000;46084.09;0.3449;2
1700035880000000000;46110.46;1.9948;4
1700035940000000000;46104.06;0.3072;2
